Country,Outcome,Group,Predictor_Set,Min_Obs,Sample_Size,R2
AUSTRALIA,education,all,famincedu,1,2418,0.131
GERMANY,education,all,famincedu,1,2331,0.239
KOREA,education,all,famincedu,1,2126,0.102
USA,education,all,famincedu,1,11461,0.238
