Country,Outcome,Group,Predictor_Set,Min_Obs,Sample_Size,R2
AUSTRALIA,education,all,predictors017,1,2418,0.188
GERMANY,education,all,predictors017,1,2331,0.249
KOREA,education,all,predictors017,1,2126,0.104
USA,education,all,predictors017,1,11461,0.291
