Country,Outcome,Group,Predictor_Set,Min_Obs,Sample_Size,SuperLearner
AUSTRALIA,education,all,predictors010,3,1895,0.188
GERMANY,education,all,predictors010,3,1859,0.243
KOREA,education,all,predictors010,3,1273,0.1
USA,education,all,predictors010,3,10496,0.306
