Country,Outcome,Group,Predictor_Set,Min_Obs,Sample_Size,SuperLearner
AUSTRALIA,top10,all,predictors017,3,1966,0.061
GERMANY,top10,all,predictors017,3,2214,0.101
KOREA,top10,all,predictors017,3,1273,0.15
UK,top10,all,predictors017,3,1764,0.031
USA,top10,all,predictors017,3,10543,0.137
