Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.8865770721204064,GERMANY,poverty,all,2,3,predictors010,3
SL.ranger.fast_All,0.041303966880224856,GERMANY,poverty,all,2,3,predictors010,3
SL.xgboost.fast_All,0.07211896099936885,GERMANY,poverty,all,2,3,predictors010,3
SL.glmnet_All,0.8525623224197431,GERMANY,poverty,all,2,4,predictors010,3
SL.ranger.fast_All,0.10839659871523855,GERMANY,poverty,all,2,4,predictors010,3
SL.xgboost.fast_All,0.0390410788650184,GERMANY,poverty,all,2,4,predictors010,3
SL.glmnet_All,0.7695806329242745,GERMANY,poverty,all,2,5,predictors010,3
SL.ranger.fast_All,0.06226935750527714,GERMANY,poverty,all,2,5,predictors010,3
SL.xgboost.fast_All,0.1681500095704485,GERMANY,poverty,all,2,5,predictors010,3
SL.glmnet_All,0.8189399377811654,GERMANY,poverty,all,3,1,predictors010,3
SL.ranger.fast_All,0.1693596260362943,GERMANY,poverty,all,3,1,predictors010,3
SL.xgboost.fast_All,0.011700436182540352,GERMANY,poverty,all,3,1,predictors010,3
SL.glmnet_All,0.6228840070262189,GERMANY,poverty,all,3,2,predictors010,3
SL.ranger.fast_All,0.377115992973781,GERMANY,poverty,all,3,2,predictors010,3
SL.xgboost.fast_All,0,GERMANY,poverty,all,3,2,predictors010,3
SL.glmnet_All,0.8461557767571302,GERMANY,poverty,all,3,3,predictors010,3
SL.ranger.fast_All,0.15084281886302522,GERMANY,poverty,all,3,3,predictors010,3
SL.xgboost.fast_All,0.0030014043798446415,GERMANY,poverty,all,3,3,predictors010,3
SL.glmnet_All,0.7509473398710793,GERMANY,poverty,all,3,4,predictors010,3
SL.ranger.fast_All,0.24905266012892077,GERMANY,poverty,all,3,4,predictors010,3
SL.xgboost.fast_All,0,GERMANY,poverty,all,3,4,predictors010,3
SL.glmnet_All,0.7595582353201579,GERMANY,poverty,all,3,5,predictors010,3
SL.ranger.fast_All,0.21123596170302422,GERMANY,poverty,all,3,5,predictors010,3
SL.xgboost.fast_All,0.029205802976817876,GERMANY,poverty,all,3,5,predictors010,3
SL.glmnet_All,0.2222524843907539,AUSTRALIA,poverty,all,1,1,predictors010,3
SL.ranger.fast_All,0.7777475156092462,AUSTRALIA,poverty,all,1,1,predictors010,3
SL.xgboost.fast_All,0,AUSTRALIA,poverty,all,1,1,predictors010,3
SL.glmnet_All,0.6854623497834647,AUSTRALIA,poverty,all,1,2,predictors010,3
SL.ranger.fast_All,0.3033820036998988,AUSTRALIA,poverty,all,1,2,predictors010,3
SL.xgboost.fast_All,0.011155646516636539,AUSTRALIA,poverty,all,1,2,predictors010,3
SL.glmnet_All,0.5506510682442383,AUSTRALIA,poverty,all,1,3,predictors010,3
SL.ranger.fast_All,0.32229034850832977,AUSTRALIA,poverty,all,1,3,predictors010,3
SL.xgboost.fast_All,0.12705858324743205,AUSTRALIA,poverty,all,1,3,predictors010,3
SL.glmnet_All,0.5200834499285016,AUSTRALIA,poverty,all,1,4,predictors010,3
SL.ranger.fast_All,0.3539777392814086,AUSTRALIA,poverty,all,1,4,predictors010,3
SL.xgboost.fast_All,0.12593881079008978,AUSTRALIA,poverty,all,1,4,predictors010,3
SL.glmnet_All,0.7442156807499235,AUSTRALIA,poverty,all,1,5,predictors010,3
SL.ranger.fast_All,0.24035520590852197,AUSTRALIA,poverty,all,1,5,predictors010,3
SL.xgboost.fast_All,0.015429113341554673,AUSTRALIA,poverty,all,1,5,predictors010,3
SL.glmnet_All,0.833836426933843,AUSTRALIA,poverty,all,2,1,predictors010,3
SL.ranger.fast_All,0.1237545588034637,AUSTRALIA,poverty,all,2,1,predictors010,3
SL.xgboost.fast_All,0.042409014262693265,AUSTRALIA,poverty,all,2,1,predictors010,3
SL.glmnet_All,0.40723820780875136,AUSTRALIA,poverty,all,2,2,predictors010,3
SL.ranger.fast_All,0.5927617921912487,AUSTRALIA,poverty,all,2,2,predictors010,3
SL.xgboost.fast_All,0,AUSTRALIA,poverty,all,2,2,predictors010,3
SL.glmnet_All,0.4961217813204402,AUSTRALIA,poverty,all,2,3,predictors010,3
SL.ranger.fast_All,0.39318103957569583,AUSTRALIA,poverty,all,2,3,predictors010,3
SL.xgboost.fast_All,0.11069717910386392,AUSTRALIA,poverty,all,2,3,predictors010,3
SL.glmnet_All,0.4778303861373208,AUSTRALIA,poverty,all,2,4,predictors010,3
SL.ranger.fast_All,0.5221696138626793,AUSTRALIA,poverty,all,2,4,predictors010,3
SL.xgboost.fast_All,0,AUSTRALIA,poverty,all,2,4,predictors010,3
SL.glmnet_All,0.2708897682992194,AUSTRALIA,poverty,all,2,5,predictors010,3
SL.ranger.fast_All,0.7291102317007806,AUSTRALIA,poverty,all,2,5,predictors010,3
SL.xgboost.fast_All,0,AUSTRALIA,poverty,all,2,5,predictors010,3
SL.glmnet_All,0.614952821997874,AUSTRALIA,poverty,all,3,1,predictors010,3
SL.ranger.fast_All,0.3850471780021259,AUSTRALIA,poverty,all,3,1,predictors010,3
SL.xgboost.fast_All,0,AUSTRALIA,poverty,all,3,1,predictors010,3
SL.glmnet_All,0.7471380604127587,AUSTRALIA,poverty,all,3,2,predictors010,3
SL.ranger.fast_All,0.17236147499779492,AUSTRALIA,poverty,all,3,2,predictors010,3
SL.xgboost.fast_All,0.08050046458944639,AUSTRALIA,poverty,all,3,2,predictors010,3
SL.glmnet_All,0.3704938548970235,AUSTRALIA,poverty,all,3,3,predictors010,3
SL.ranger.fast_All,0.5802505410726568,AUSTRALIA,poverty,all,3,3,predictors010,3
SL.xgboost.fast_All,0.04925560403031965,AUSTRALIA,poverty,all,3,3,predictors010,3
SL.glmnet_All,0.4277715343867864,AUSTRALIA,poverty,all,3,4,predictors010,3
SL.ranger.fast_All,0.5554816451133409,AUSTRALIA,poverty,all,3,4,predictors010,3
SL.xgboost.fast_All,0.016746820499872864,AUSTRALIA,poverty,all,3,4,predictors010,3
SL.glmnet_All,0.568952428934367,AUSTRALIA,poverty,all,3,5,predictors010,3
SL.ranger.fast_All,0.43104757106563296,AUSTRALIA,poverty,all,3,5,predictors010,3
SL.xgboost.fast_All,0,AUSTRALIA,poverty,all,3,5,predictors010,3
SL.glmnet_All,0.13268606342305725,KOREA,poverty,all,1,1,predictors010,3
SL.ranger.fast_All,0.7667238207626098,KOREA,poverty,all,1,1,predictors010,3
SL.xgboost.fast_All,0.10059011581433279,KOREA,poverty,all,1,1,predictors010,3
SL.glmnet_All,0.06548408651161909,KOREA,poverty,all,1,2,predictors010,3
SL.ranger.fast_All,0.9345159134883809,KOREA,poverty,all,1,2,predictors010,3
SL.xgboost.fast_All,0,KOREA,poverty,all,1,2,predictors010,3
SL.glmnet_All,0,KOREA,poverty,all,1,3,predictors010,3
SL.ranger.fast_All,0.9892012274752835,KOREA,poverty,all,1,3,predictors010,3
SL.xgboost.fast_All,0.01079877252471643,KOREA,poverty,all,1,3,predictors010,3
SL.glmnet_All,0,KOREA,poverty,all,1,4,predictors010,3
SL.ranger.fast_All,0.9135892585885083,KOREA,poverty,all,1,4,predictors010,3
SL.xgboost.fast_All,0.08641074141149174,KOREA,poverty,all,1,4,predictors010,3
SL.glmnet_All,0.13757436722474234,KOREA,poverty,all,1,5,predictors010,3
SL.ranger.fast_All,0.778497382618574,KOREA,poverty,all,1,5,predictors010,3
SL.xgboost.fast_All,0.08392825015668369,KOREA,poverty,all,1,5,predictors010,3
SL.glmnet_All,0.3068970753866935,KOREA,poverty,all,2,1,predictors010,3
SL.ranger.fast_All,0.5885737866027968,KOREA,poverty,all,2,1,predictors010,3
SL.xgboost.fast_All,0.10452913801050967,KOREA,poverty,all,2,1,predictors010,3
SL.glmnet_All,0.07457456573508851,KOREA,poverty,all,2,2,predictors010,3
SL.ranger.fast_All,0.9254254342649115,KOREA,poverty,all,2,2,predictors010,3
SL.xgboost.fast_All,0,KOREA,poverty,all,2,2,predictors010,3
SL.glmnet_All,0.013992184923851712,KOREA,poverty,all,2,3,predictors010,3
SL.ranger.fast_All,0.979573066083922,KOREA,poverty,all,2,3,predictors010,3
SL.xgboost.fast_All,0.006434748992226225,KOREA,poverty,all,2,3,predictors010,3
SL.glmnet_All,0,KOREA,poverty,all,2,4,predictors010,3
SL.ranger.fast_All,1,KOREA,poverty,all,2,4,predictors010,3
SL.xgboost.fast_All,0,KOREA,poverty,all,2,4,predictors010,3
SL.glmnet_All,0.5276399560523315,KOREA,poverty,all,2,5,predictors010,3
SL.ranger.fast_All,0.4723600439476685,KOREA,poverty,all,2,5,predictors010,3
SL.xgboost.fast_All,0,KOREA,poverty,all,2,5,predictors010,3
SL.glmnet_All,0,KOREA,poverty,all,3,1,predictors010,3
SL.ranger.fast_All,0.8892772532880407,KOREA,poverty,all,3,1,predictors010,3
SL.xgboost.fast_All,0.11072274671195928,KOREA,poverty,all,3,1,predictors010,3
SL.glmnet_All,0.4812700164784158,KOREA,poverty,all,3,2,predictors010,3
SL.ranger.fast_All,0.46494620325958924,KOREA,poverty,all,3,2,predictors010,3
SL.xgboost.fast_All,0.05378378026199485,KOREA,poverty,all,3,2,predictors010,3
SL.glmnet_All,0,KOREA,poverty,all,3,3,predictors010,3
SL.ranger.fast_All,1,KOREA,poverty,all,3,3,predictors010,3
SL.xgboost.fast_All,0,KOREA,poverty,all,3,3,predictors010,3
SL.glmnet_All,0.30206855807057253,KOREA,poverty,all,3,4,predictors010,3
SL.ranger.fast_All,0.6979314419294276,KOREA,poverty,all,3,4,predictors010,3
SL.xgboost.fast_All,0,KOREA,poverty,all,3,4,predictors010,3
SL.glmnet_All,0.09203456325616056,KOREA,poverty,all,3,5,predictors010,3
SL.ranger.fast_All,0.9079654367438393,KOREA,poverty,all,3,5,predictors010,3
SL.xgboost.fast_All,0,KOREA,poverty,all,3,5,predictors010,3
SL.glmnet_All,0.15303685954473714,UK,poverty,all,1,1,predictors010,3
SL.ranger.fast_All,0.7450487435883733,UK,poverty,all,1,1,predictors010,3
SL.xgboost.fast_All,0.10191439686688965,UK,poverty,all,1,1,predictors010,3
SL.glmnet_All,0.9329233749457482,UK,poverty,all,1,2,predictors010,3
SL.ranger.fast_All,0,UK,poverty,all,1,2,predictors010,3
SL.xgboost.fast_All,0.06707662505425192,UK,poverty,all,1,2,predictors010,3
SL.glmnet_All,0.060750506627936726,UK,poverty,all,1,3,predictors010,3
SL.ranger.fast_All,0.9392494933720633,UK,poverty,all,1,3,predictors010,3
SL.xgboost.fast_All,0,UK,poverty,all,1,3,predictors010,3
SL.glmnet_All,0.0496616720023932,UK,poverty,all,1,4,predictors010,3
SL.ranger.fast_All,0.9209049354343797,UK,poverty,all,1,4,predictors010,3
SL.xgboost.fast_All,0.029433392563227273,UK,poverty,all,1,4,predictors010,3
SL.glmnet_All,0.41430943875914433,UK,poverty,all,1,5,predictors010,3
SL.ranger.fast_All,0.4547657427116196,UK,poverty,all,1,5,predictors010,3
SL.xgboost.fast_All,0.13092481852923615,UK,poverty,all,1,5,predictors010,3
SL.glmnet_All,0.49760025335300384,UK,poverty,all,2,1,predictors010,3
SL.ranger.fast_All,0.47176209593623675,UK,poverty,all,2,1,predictors010,3
SL.xgboost.fast_All,0.030637650710759506,UK,poverty,all,2,1,predictors010,3
SL.glmnet_All,0.2688467827597636,UK,poverty,all,2,2,predictors010,3
SL.ranger.fast_All,0.666513355893308,UK,poverty,all,2,2,predictors010,3
SL.xgboost.fast_All,0.06463986134692856,UK,poverty,all,2,2,predictors010,3
SL.glmnet_All,0.178064170250247,UK,poverty,all,2,3,predictors010,3
SL.ranger.fast_All,0.7044697039120179,UK,poverty,all,2,3,predictors010,3
SL.xgboost.fast_All,0.11746612583773508,UK,poverty,all,2,3,predictors010,3
SL.glmnet_All,0.5438421401806036,UK,poverty,all,2,4,predictors010,3
SL.ranger.fast_All,0.44510065334023835,UK,poverty,all,2,4,predictors010,3
