Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,top10,all,predictors010,3,1,1966,0.07021412648609889
AUSTRALIA,top10,all,predictors010,3,2,1966,0.07157948450468363
AUSTRALIA,top10,all,predictors010,3,3,1966,0.07298314543929327
GERMANY,top10,all,predictors010,3,1,2214,0.1575620711183509
GERMANY,top10,all,predictors010,3,2,2214,0.16566200206104603
GERMANY,top10,all,predictors010,3,3,2214,0.171280334023081
KOREA,top10,all,predictors010,3,1,1273,0.05598258779437919
KOREA,top10,all,predictors010,3,2,1273,0.06544363536053306
KOREA,top10,all,predictors010,3,3,1273,0.07379853516614401
UK,top10,all,predictors010,3,1,1764,0.06046177007002949
UK,top10,all,predictors010,3,2,1764,0.057473256518878156
UK,top10,all,predictors010,3,3,1764,0.04207458159713144
USA,top10,all,predictors010,3,1,10543,0.14878278930284855
USA,top10,all,predictors010,3,2,10543,0.15017959042201331
USA,top10,all,predictors010,3,3,10543,0.14748852814425564
