Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,top10,all,predictors017,1,1,2512,0.07875545533810942
AUSTRALIA,top10,all,predictors017,1,2,2512,0.08511242106777872
AUSTRALIA,top10,all,predictors017,1,3,2512,0.09226636824135774
GERMANY,top10,all,predictors017,1,1,2765,0.21512021749895482
GERMANY,top10,all,predictors017,1,2,2765,0.21682674097427562
GERMANY,top10,all,predictors017,1,3,2765,0.2220725722456548
KOREA,top10,all,predictors017,1,1,2126,0.13997795196947674
KOREA,top10,all,predictors017,1,2,2126,0.14382228852481438
KOREA,top10,all,predictors017,1,3,2126,0.1477089495812117
UK,top10,all,predictors017,1,1,2528,0.08379188711113836
UK,top10,all,predictors017,1,2,2528,0.07284381329865611
UK,top10,all,predictors017,1,3,2528,0.06881333182546774
USA,top10,all,predictors017,1,1,11519,0.1572975248504275
USA,top10,all,predictors017,1,2,11519,0.15371012624131283
USA,top10,all,predictors017,1,3,11519,0.15799846241037407
