Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.7106536242713815,GERMANY,poverty,all,2,3,predictors017,1
SL.ranger.fast_All,0.2451405352228976,GERMANY,poverty,all,2,3,predictors017,1
SL.xgboost.fast_All,0.044205840505720885,GERMANY,poverty,all,2,3,predictors017,1
SL.glmnet_All,0.7346401621015032,GERMANY,poverty,all,2,4,predictors017,1
SL.ranger.fast_All,0.26535983789849676,GERMANY,poverty,all,2,4,predictors017,1
SL.xgboost.fast_All,0,GERMANY,poverty,all,2,4,predictors017,1
SL.glmnet_All,0.6615851325351991,GERMANY,poverty,all,2,5,predictors017,1
SL.ranger.fast_All,0.3384148674648009,GERMANY,poverty,all,2,5,predictors017,1
SL.xgboost.fast_All,0,GERMANY,poverty,all,2,5,predictors017,1
SL.glmnet_All,0.8308316895206463,GERMANY,poverty,all,3,1,predictors017,1
SL.ranger.fast_All,0.16916831047935363,GERMANY,poverty,all,3,1,predictors017,1
SL.xgboost.fast_All,0,GERMANY,poverty,all,3,1,predictors017,1
SL.glmnet_All,0.5693445019631599,GERMANY,poverty,all,3,2,predictors017,1
SL.ranger.fast_All,0.3191556972314279,GERMANY,poverty,all,3,2,predictors017,1
SL.xgboost.fast_All,0.11149980080541233,GERMANY,poverty,all,3,2,predictors017,1
SL.glmnet_All,0.7302317801959531,GERMANY,poverty,all,3,3,predictors017,1
SL.ranger.fast_All,0.13539504033609634,GERMANY,poverty,all,3,3,predictors017,1
SL.xgboost.fast_All,0.1343731794679505,GERMANY,poverty,all,3,3,predictors017,1
SL.glmnet_All,0.6554312308199474,GERMANY,poverty,all,3,4,predictors017,1
SL.ranger.fast_All,0.3301513949572894,GERMANY,poverty,all,3,4,predictors017,1
SL.xgboost.fast_All,0.014417374222763119,GERMANY,poverty,all,3,4,predictors017,1
SL.glmnet_All,0.5736615308356416,GERMANY,poverty,all,3,5,predictors017,1
SL.ranger.fast_All,0.4194387816353151,GERMANY,poverty,all,3,5,predictors017,1
SL.xgboost.fast_All,0.006899687529043157,GERMANY,poverty,all,3,5,predictors017,1
SL.glmnet_All,0.5124444698133307,AUSTRALIA,poverty,all,1,1,predictors017,1
SL.ranger.fast_All,0.45426390140861106,AUSTRALIA,poverty,all,1,1,predictors017,1
SL.xgboost.fast_All,0.03329162877805832,AUSTRALIA,poverty,all,1,1,predictors017,1
SL.glmnet_All,0.6101831523945016,AUSTRALIA,poverty,all,1,2,predictors017,1
SL.ranger.fast_All,0.2867187533297318,AUSTRALIA,poverty,all,1,2,predictors017,1
SL.xgboost.fast_All,0.10309809427576644,AUSTRALIA,poverty,all,1,2,predictors017,1
SL.glmnet_All,0.42478931728014996,AUSTRALIA,poverty,all,1,3,predictors017,1
SL.ranger.fast_All,0.4483749168773354,AUSTRALIA,poverty,all,1,3,predictors017,1
SL.xgboost.fast_All,0.1268357658425146,AUSTRALIA,poverty,all,1,3,predictors017,1
SL.glmnet_All,0.4365366276709103,AUSTRALIA,poverty,all,1,4,predictors017,1
SL.ranger.fast_All,0.37025824462830625,AUSTRALIA,poverty,all,1,4,predictors017,1
SL.xgboost.fast_All,0.19320512770078344,AUSTRALIA,poverty,all,1,4,predictors017,1
SL.glmnet_All,0.501920931208952,AUSTRALIA,poverty,all,1,5,predictors017,1
SL.ranger.fast_All,0.4887234476194535,AUSTRALIA,poverty,all,1,5,predictors017,1
SL.xgboost.fast_All,0.009355621171594504,AUSTRALIA,poverty,all,1,5,predictors017,1
SL.glmnet_All,0.284748851950123,AUSTRALIA,poverty,all,2,1,predictors017,1
SL.ranger.fast_All,0.7121765155656464,AUSTRALIA,poverty,all,2,1,predictors017,1
SL.xgboost.fast_All,0.0030746324842304616,AUSTRALIA,poverty,all,2,1,predictors017,1
SL.glmnet_All,0.4740907518535053,AUSTRALIA,poverty,all,2,2,predictors017,1
SL.ranger.fast_All,0.4106219089999635,AUSTRALIA,poverty,all,2,2,predictors017,1
SL.xgboost.fast_All,0.11528733914653123,AUSTRALIA,poverty,all,2,2,predictors017,1
SL.glmnet_All,0.4528973212908144,AUSTRALIA,poverty,all,2,3,predictors017,1
SL.ranger.fast_All,0.4089248253538325,AUSTRALIA,poverty,all,2,3,predictors017,1
SL.xgboost.fast_All,0.13817785335535315,AUSTRALIA,poverty,all,2,3,predictors017,1
SL.glmnet_All,0.5443179048130053,AUSTRALIA,poverty,all,2,4,predictors017,1
SL.ranger.fast_All,0.4556820951869947,AUSTRALIA,poverty,all,2,4,predictors017,1
SL.xgboost.fast_All,0,AUSTRALIA,poverty,all,2,4,predictors017,1
SL.glmnet_All,0.25492415233187965,AUSTRALIA,poverty,all,2,5,predictors017,1
SL.ranger.fast_All,0.7450758476681203,AUSTRALIA,poverty,all,2,5,predictors017,1
SL.xgboost.fast_All,0,AUSTRALIA,poverty,all,2,5,predictors017,1
SL.glmnet_All,0.48270764919975684,AUSTRALIA,poverty,all,3,1,predictors017,1
