Country,Outcome,Group,Predictor_Set,Min_Obs,Sample_Size,SuperLearner
AUSTRALIA,top10,all,predictors010,1,2512,0.07
GERMANY,top10,all,predictors010,1,2765,0.173
KOREA,top10,all,predictors010,1,2126,0.114
UK,top10,all,predictors010,1,2528,0.055
USA,top10,all,predictors010,1,11519,0.145
