Country,Outcome,Group,Predictor_Set,Min_Obs,Sample_Size,SuperLearner
AUSTRALIA,education,all,predictors017,1,2418,0.207
GERMANY,education,all,predictors017,1,2331,0.268
KOREA,education,all,predictors017,1,2126,0.116
USA,education,all,predictors017,1,11461,0.315
