Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,top20,childtop20,predictors017,1,1,529,0.10147774954036597
AUSTRALIA,top20,childtop20,predictors017,1,2,529,0.11894208262861705
AUSTRALIA,top20,childtop20,predictors017,1,3,529,0.10836066639513812
GERMANY,top20,childtop20,predictors017,1,1,717,0.2793147511701144
GERMANY,top20,childtop20,predictors017,1,2,717,0.2789716035705503
GERMANY,top20,childtop20,predictors017,1,3,717,0.28231540954029266
KOREA,top20,childtop20,predictors017,1,1,411,0.1256366634694907
KOREA,top20,childtop20,predictors017,1,2,411,0.11244741610704205
KOREA,top20,childtop20,predictors017,1,3,411,0.1198434647790217
UK,top20,childtop20,predictors017,1,1,584,0.10565113479739426
UK,top20,childtop20,predictors017,1,2,584,0.0869158328925789
UK,top20,childtop20,predictors017,1,3,584,0.11160583924573153
USA,top20,childtop20,predictors017,1,1,2245,0.1035776441747394
USA,top20,childtop20,predictors017,1,2,2245,0.10066904543693936
USA,top20,childtop20,predictors017,1,3,2245,0.09870359115677016
