Country,Outcome,Group,Predictor_Set,Min_Obs,Sample_Size,SuperLearner
AUSTRALIA,poverty,childbottom20,predictors017,1,505,0.027
GERMANY,poverty,childbottom20,predictors017,1,443,0.015
KOREA,poverty,childbottom20,predictors017,1,420,0.052
UK,poverty,childbottom20,predictors017,1,325,-0.011
USA,poverty,childbottom20,predictors017,1,2274,0.074
