Country,Outcome,Group,Predictor_Set,Min_Obs,Sample_Size,SuperLearner
AUSTRALIA,education,all,predictors010,1,2418,0.192
GERMANY,education,all,predictors010,1,2331,0.26
KOREA,education,all,predictors010,1,2126,0.114
USA,education,all,predictors010,1,11461,0.3
