Country,Outcome,Group,Predictor_Set,Min_Obs,Sample_Size,SuperLearner
AUSTRALIA,adcont,all,predictors010,1,2512,0.136
GERMANY,adcont,all,predictors010,1,2765,0.12
KOREA,adcont,all,predictors010,1,2126,0.131
UK,adcont,all,predictors010,1,1843,0.103
USA,adcont,all,predictors010,1,11518,0.308
