Country,Outcome,Group,Predictor_Set,Min_Obs,Sample_Size,SuperLearner
AUSTRALIA,adcont,all,predictors017,1,2512,0.229
GERMANY,adcont,all,predictors017,1,2765,0.299
KOREA,adcont,all,predictors017,1,2126,0.246
UK,adcont,all,predictors017,1,1843,0.136
USA,adcont,all,predictors017,1,11518,0.344
