Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.4538307485268119,USA,poverty,all,1,1,predictors010,1
SL.ranger.fast_All,0.4198596327551713,USA,poverty,all,1,1,predictors010,1
SL.xgboost.fast_All,0.12630961871801685,USA,poverty,all,1,1,predictors010,1
SL.glmnet_All,0.4190596102244299,USA,poverty,all,1,2,predictors010,1
SL.ranger.fast_All,0.48107955381254014,USA,poverty,all,1,2,predictors010,1
SL.xgboost.fast_All,0.09986083596302996,USA,poverty,all,1,2,predictors010,1
SL.glmnet_All,0.4602607666281027,USA,poverty,all,1,3,predictors010,1
SL.ranger.fast_All,0.454253721068091,USA,poverty,all,1,3,predictors010,1
SL.xgboost.fast_All,0.08548551230380634,USA,poverty,all,1,3,predictors010,1
SL.glmnet_All,0.4205189303862851,USA,poverty,all,1,4,predictors010,1
SL.ranger.fast_All,0.4672936625424062,USA,poverty,all,1,4,predictors010,1
SL.xgboost.fast_All,0.11218740707130878,USA,poverty,all,1,4,predictors010,1
SL.glmnet_All,0.4205149093493925,USA,poverty,all,1,5,predictors010,1
SL.ranger.fast_All,0.4768363327807283,USA,poverty,all,1,5,predictors010,1
SL.xgboost.fast_All,0.10264875786987926,USA,poverty,all,1,5,predictors010,1
SL.glmnet_All,0.48444604371570843,USA,poverty,all,2,1,predictors010,1
SL.ranger.fast_All,0.4217600420749417,USA,poverty,all,2,1,predictors010,1
SL.xgboost.fast_All,0.09379391420934981,USA,poverty,all,2,1,predictors010,1
SL.glmnet_All,0.3088084636371201,USA,poverty,all,2,2,predictors010,1
SL.ranger.fast_All,0.5800059188286294,USA,poverty,all,2,2,predictors010,1
SL.xgboost.fast_All,0.1111856175342503,USA,poverty,all,2,2,predictors010,1
SL.glmnet_All,0.3388030646979451,USA,poverty,all,2,3,predictors010,1
SL.ranger.fast_All,0.4449542805875792,USA,poverty,all,2,3,predictors010,1
SL.xgboost.fast_All,0.2162426547144758,USA,poverty,all,2,3,predictors010,1
SL.glmnet_All,0.4300570933632493,USA,poverty,all,2,4,predictors010,1
SL.ranger.fast_All,0.4551848474292549,USA,poverty,all,2,4,predictors010,1
SL.xgboost.fast_All,0.11475805920749568,USA,poverty,all,2,4,predictors010,1
SL.glmnet_All,0.5126637560999788,USA,poverty,all,2,5,predictors010,1
SL.ranger.fast_All,0.40744353298252506,USA,poverty,all,2,5,predictors010,1
SL.xgboost.fast_All,0.07989271091749628,USA,poverty,all,2,5,predictors010,1
SL.glmnet_All,0.3937600043741508,USA,poverty,all,3,1,predictors010,1
SL.ranger.fast_All,0.49615051742460825,USA,poverty,all,3,1,predictors010,1
SL.xgboost.fast_All,0.11008947820124093,USA,poverty,all,3,1,predictors010,1
SL.glmnet_All,0.5027135457047001,USA,poverty,all,3,2,predictors010,1
SL.ranger.fast_All,0.42765119064162005,USA,poverty,all,3,2,predictors010,1
SL.xgboost.fast_All,0.06963526365367996,USA,poverty,all,3,2,predictors010,1
SL.glmnet_All,0.40239848560998226,USA,poverty,all,3,3,predictors010,1
SL.ranger.fast_All,0.45748784640730417,USA,poverty,all,3,3,predictors010,1
SL.xgboost.fast_All,0.14011366798271357,USA,poverty,all,3,3,predictors010,1
SL.glmnet_All,0.37833436692479616,USA,poverty,all,3,4,predictors010,1
SL.ranger.fast_All,0.41864909385650156,USA,poverty,all,3,4,predictors010,1
SL.xgboost.fast_All,0.20301653921870225,USA,poverty,all,3,4,predictors010,1
SL.glmnet_All,0.448521161349649,USA,poverty,all,3,5,predictors010,1
SL.ranger.fast_All,0.5033162961388323,USA,poverty,all,3,5,predictors010,1
SL.xgboost.fast_All,0.04816254251151872,USA,poverty,all,3,5,predictors010,1
SL.glmnet_All,0.5403771674078746,GERMANY,poverty,all,1,1,predictors010,1
SL.ranger.fast_All,0.3747244982825968,GERMANY,poverty,all,1,1,predictors010,1
SL.xgboost.fast_All,0.08489833430952869,GERMANY,poverty,all,1,1,predictors010,1
SL.glmnet_All,0.7494048216728229,GERMANY,poverty,all,1,2,predictors010,1
SL.ranger.fast_All,0.20551224833711781,GERMANY,poverty,all,1,2,predictors010,1
SL.xgboost.fast_All,0.04508292999005943,GERMANY,poverty,all,1,2,predictors010,1
SL.glmnet_All,0.6519841800792275,GERMANY,poverty,all,1,3,predictors010,1
SL.ranger.fast_All,0.22131718456350497,GERMANY,poverty,all,1,3,predictors010,1
SL.xgboost.fast_All,0.12669863535726758,GERMANY,poverty,all,1,3,predictors010,1
SL.glmnet_All,0.9913886938861078,GERMANY,poverty,all,1,4,predictors010,1
SL.ranger.fast_All,0,GERMANY,poverty,all,1,4,predictors010,1
SL.xgboost.fast_All,0.008611306113892105,GERMANY,poverty,all,1,4,predictors010,1
SL.glmnet_All,0.7196818365192997,GERMANY,poverty,all,1,5,predictors010,1
SL.ranger.fast_All,0.2749286962753377,GERMANY,poverty,all,1,5,predictors010,1
SL.xgboost.fast_All,0.0053894672053625544,GERMANY,poverty,all,1,5,predictors010,1
SL.glmnet_All,0.6497583816220388,GERMANY,poverty,all,2,1,predictors010,1
SL.ranger.fast_All,0.2979645975655728,GERMANY,poverty,all,2,1,predictors010,1
SL.xgboost.fast_All,0.052277020812388456,GERMANY,poverty,all,2,1,predictors010,1
SL.glmnet_All,0.6892329932637253,GERMANY,poverty,all,2,2,predictors010,1
SL.ranger.fast_All,0.26556778013321325,GERMANY,poverty,all,2,2,predictors010,1
SL.xgboost.fast_All,0.04519922660306135,GERMANY,poverty,all,2,2,predictors010,1
SL.glmnet_All,0.5749068103500421,GERMANY,poverty,all,2,3,predictors010,1
SL.ranger.fast_All,0.4072267690316425,GERMANY,poverty,all,2,3,predictors010,1
SL.xgboost.fast_All,0.0178664206183153,GERMANY,poverty,all,2,3,predictors010,1
SL.glmnet_All,0.64152150957191,GERMANY,poverty,all,2,4,predictors010,1
SL.ranger.fast_All,0.35345362668072566,GERMANY,poverty,all,2,4,predictors010,1
SL.xgboost.fast_All,0.005024863747364291,GERMANY,poverty,all,2,4,predictors010,1
