Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,adcont,all,predictors017,1,1,2512,0.22754125106501283
AUSTRALIA,adcont,all,predictors017,1,2,2512,0.23441346608787256
AUSTRALIA,adcont,all,predictors017,1,3,2512,0.22506162237351252
GERMANY,adcont,all,predictors017,1,1,2765,0.3001849681494188
GERMANY,adcont,all,predictors017,1,2,2765,0.2945209642027429
GERMANY,adcont,all,predictors017,1,3,2765,0.3011618129499908
KOREA,adcont,all,predictors017,1,1,2126,0.24661883834496676
KOREA,adcont,all,predictors017,1,2,2126,0.24561533562820706
KOREA,adcont,all,predictors017,1,3,2126,0.24656450876598957
UK,adcont,all,predictors017,1,1,1843,0.13475142183193212
UK,adcont,all,predictors017,1,2,1843,0.13329742743084172
UK,adcont,all,predictors017,1,3,1843,0.14091520962768464
USA,adcont,all,predictors017,1,1,11518,0.34493757561877536
USA,adcont,all,predictors017,1,2,11518,0.34371529904791637
USA,adcont,all,predictors017,1,3,11518,0.34296431675064165
