Country,Outcome,Group,Predictor_Set,Min_Obs,Sample_Size,SuperLearner
AUSTRALIA,education,all,famincedu,1,2418,0.133
GERMANY,education,all,famincedu,1,2331,0.242
KOREA,education,all,famincedu,1,2126,0.1
USA,education,all,famincedu,1,11461,0.241
