Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,bottom50,childtop20,predictors010,1,1,529,0.02449155864267847
AUSTRALIA,bottom50,childtop20,predictors010,1,2,529,0.04969208767590048
AUSTRALIA,bottom50,childtop20,predictors010,1,3,529,0.05903644378115851
GERMANY,bottom50,childtop20,predictors010,1,1,717,0.21260152397910864
GERMANY,bottom50,childtop20,predictors010,1,2,717,0.2256912068035911
GERMANY,bottom50,childtop20,predictors010,1,3,717,0.21539420520790958
KOREA,bottom50,childtop20,predictors010,1,1,411,0.03330278623632528
KOREA,bottom50,childtop20,predictors010,1,2,411,0.027554642697480914
KOREA,bottom50,childtop20,predictors010,1,3,411,0.013894231862851214
UK,bottom50,childtop20,predictors010,1,1,584,0.0420953538564429
UK,bottom50,childtop20,predictors010,1,2,584,0.05191373352808004
UK,bottom50,childtop20,predictors010,1,3,584,0.055073404726311836
USA,bottom50,childtop20,predictors010,1,1,2245,0.0697034822572545
USA,bottom50,childtop20,predictors010,1,2,2245,0.07253205894189392
USA,bottom50,childtop20,predictors010,1,3,2245,0.07116422439734489
