Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.41527500997501804,USA,adcont,all,1,1,predictors017,1
SL.ranger.fast_All,0.3674670414113381,USA,adcont,all,1,1,predictors017,1
SL.xgboost.fast_All,0.21725794861364378,USA,adcont,all,1,1,predictors017,1
SL.glmnet_All,0.44587105489999357,USA,adcont,all,1,2,predictors017,1
SL.ranger.fast_All,0.3635628590342398,USA,adcont,all,1,2,predictors017,1
SL.xgboost.fast_All,0.19056608606576664,USA,adcont,all,1,2,predictors017,1
SL.glmnet_All,0.3931503065322259,USA,adcont,all,1,3,predictors017,1
SL.ranger.fast_All,0.38728126128577034,USA,adcont,all,1,3,predictors017,1
SL.xgboost.fast_All,0.2195684321820038,USA,adcont,all,1,3,predictors017,1
SL.glmnet_All,0.35443688187346345,USA,adcont,all,1,4,predictors017,1
SL.ranger.fast_All,0.448423789926082,USA,adcont,all,1,4,predictors017,1
SL.xgboost.fast_All,0.19713932820045463,USA,adcont,all,1,4,predictors017,1
SL.glmnet_All,0.4190049564664191,USA,adcont,all,1,5,predictors017,1
SL.ranger.fast_All,0.35245314107281994,USA,adcont,all,1,5,predictors017,1
SL.xgboost.fast_All,0.2285419024607609,USA,adcont,all,1,5,predictors017,1
SL.glmnet_All,0.40541793261205394,USA,adcont,all,2,1,predictors017,1
SL.ranger.fast_All,0.35719317423606833,USA,adcont,all,2,1,predictors017,1
SL.xgboost.fast_All,0.2373888931518778,USA,adcont,all,2,1,predictors017,1
SL.glmnet_All,0.43543054109548546,USA,adcont,all,2,2,predictors017,1
SL.ranger.fast_All,0.3931013431473693,USA,adcont,all,2,2,predictors017,1
SL.xgboost.fast_All,0.17146811575714535,USA,adcont,all,2,2,predictors017,1
SL.glmnet_All,0.3456412095145491,USA,adcont,all,2,3,predictors017,1
SL.ranger.fast_All,0.4988694457136741,USA,adcont,all,2,3,predictors017,1
SL.xgboost.fast_All,0.1554893447717769,USA,adcont,all,2,3,predictors017,1
SL.glmnet_All,0.29980464193746614,USA,adcont,all,2,4,predictors017,1
SL.ranger.fast_All,0.46176951806479616,USA,adcont,all,2,4,predictors017,1
SL.xgboost.fast_All,0.23842583999773767,USA,adcont,all,2,4,predictors017,1
SL.glmnet_All,0.42054570406908154,USA,adcont,all,2,5,predictors017,1
SL.ranger.fast_All,0.3912022423550864,USA,adcont,all,2,5,predictors017,1
SL.xgboost.fast_All,0.18825205357583197,USA,adcont,all,2,5,predictors017,1
SL.glmnet_All,0.3785779582426983,USA,adcont,all,3,1,predictors017,1
SL.ranger.fast_All,0.4670266160408182,USA,adcont,all,3,1,predictors017,1
SL.xgboost.fast_All,0.15439542571648363,USA,adcont,all,3,1,predictors017,1
SL.glmnet_All,0.44931178012568596,USA,adcont,all,3,2,predictors017,1
SL.ranger.fast_All,0.3673497133591776,USA,adcont,all,3,2,predictors017,1
SL.xgboost.fast_All,0.18333850651513656,USA,adcont,all,3,2,predictors017,1
SL.glmnet_All,0.38953028539359114,USA,adcont,all,3,3,predictors017,1
SL.ranger.fast_All,0.4282704524473782,USA,adcont,all,3,3,predictors017,1
SL.xgboost.fast_All,0.18219926215903082,USA,adcont,all,3,3,predictors017,1
SL.glmnet_All,0.3734470591283967,USA,adcont,all,3,4,predictors017,1
SL.ranger.fast_All,0.4211465411068081,USA,adcont,all,3,4,predictors017,1
SL.xgboost.fast_All,0.20540639976479513,USA,adcont,all,3,4,predictors017,1
SL.glmnet_All,0.3847170172168371,USA,adcont,all,3,5,predictors017,1
SL.ranger.fast_All,0.36887376241059755,USA,adcont,all,3,5,predictors017,1
SL.xgboost.fast_All,0.2464092203725653,USA,adcont,all,3,5,predictors017,1
SL.glmnet_All,0.38160198275688206,GERMANY,adcont,all,1,1,predictors017,1
SL.ranger.fast_All,0.476644522849027,GERMANY,adcont,all,1,1,predictors017,1
SL.xgboost.fast_All,0.14175349439409093,GERMANY,adcont,all,1,1,predictors017,1
SL.glmnet_All,0.48258485726859485,GERMANY,adcont,all,1,2,predictors017,1
SL.ranger.fast_All,0.3443840069801859,GERMANY,adcont,all,1,2,predictors017,1
SL.xgboost.fast_All,0.17303113575121934,GERMANY,adcont,all,1,2,predictors017,1
SL.glmnet_All,0.3835881609609384,GERMANY,adcont,all,1,3,predictors017,1
SL.ranger.fast_All,0.38152752449929994,GERMANY,adcont,all,1,3,predictors017,1
SL.xgboost.fast_All,0.23488431453976172,GERMANY,adcont,all,1,3,predictors017,1
SL.glmnet_All,0.41796095856044235,GERMANY,adcont,all,1,4,predictors017,1
SL.ranger.fast_All,0.4995302185641423,GERMANY,adcont,all,1,4,predictors017,1
SL.xgboost.fast_All,0.08250882287541532,GERMANY,adcont,all,1,4,predictors017,1
SL.glmnet_All,0.38481637287332726,GERMANY,adcont,all,1,5,predictors017,1
SL.ranger.fast_All,0.3924898920346801,GERMANY,adcont,all,1,5,predictors017,1
SL.xgboost.fast_All,0.2226937350919927,GERMANY,adcont,all,1,5,predictors017,1
SL.glmnet_All,0.47226848940097954,GERMANY,adcont,all,2,1,predictors017,1
SL.ranger.fast_All,0.410718150357515,GERMANY,adcont,all,2,1,predictors017,1
