Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.49285561155763535,GERMANY,education,all,2,4,predictors010,1
SL.ranger.fast_All,0.47214114549574715,GERMANY,education,all,2,4,predictors010,1
SL.xgboost.fast_All,0.035003242946617524,GERMANY,education,all,2,4,predictors010,1
SL.glmnet_All,0.5689306419905452,GERMANY,education,all,2,5,predictors010,1
SL.ranger.fast_All,0.4310693580094548,GERMANY,education,all,2,5,predictors010,1
SL.xgboost.fast_All,0,GERMANY,education,all,2,5,predictors010,1
SL.glmnet_All,0.5529576785044572,GERMANY,education,all,3,1,predictors010,1
SL.ranger.fast_All,0.3296632653975807,GERMANY,education,all,3,1,predictors010,1
SL.xgboost.fast_All,0.11737905609796212,GERMANY,education,all,3,1,predictors010,1
SL.glmnet_All,0.4839371327740778,GERMANY,education,all,3,2,predictors010,1
SL.ranger.fast_All,0.40824000626996204,GERMANY,education,all,3,2,predictors010,1
SL.xgboost.fast_All,0.10782286095596022,GERMANY,education,all,3,2,predictors010,1
SL.glmnet_All,0.4518310890622545,GERMANY,education,all,3,3,predictors010,1
SL.ranger.fast_All,0.43141823092645076,GERMANY,education,all,3,3,predictors010,1
SL.xgboost.fast_All,0.11675068001129468,GERMANY,education,all,3,3,predictors010,1
SL.glmnet_All,0.5066147842181801,GERMANY,education,all,3,4,predictors010,1
SL.ranger.fast_All,0.4597346045692474,GERMANY,education,all,3,4,predictors010,1
SL.xgboost.fast_All,0.03365061121257251,GERMANY,education,all,3,4,predictors010,1
SL.glmnet_All,0.36556411721498216,GERMANY,education,all,3,5,predictors010,1
SL.ranger.fast_All,0.6101423104738094,GERMANY,education,all,3,5,predictors010,1
SL.xgboost.fast_All,0.024293572311208385,GERMANY,education,all,3,5,predictors010,1
SL.glmnet_All,0.6111146502956398,AUSTRALIA,education,all,1,1,predictors010,1
SL.ranger.fast_All,0.35180216048517615,AUSTRALIA,education,all,1,1,predictors010,1
SL.xgboost.fast_All,0.03708318921918405,AUSTRALIA,education,all,1,1,predictors010,1
SL.glmnet_All,0.6216158517099597,AUSTRALIA,education,all,1,2,predictors010,1
SL.ranger.fast_All,0.35309475433989773,AUSTRALIA,education,all,1,2,predictors010,1
SL.xgboost.fast_All,0.025289393950142576,AUSTRALIA,education,all,1,2,predictors010,1
SL.glmnet_All,0.5238983362570098,AUSTRALIA,education,all,1,3,predictors010,1
SL.ranger.fast_All,0.4271686696071865,AUSTRALIA,education,all,1,3,predictors010,1
SL.xgboost.fast_All,0.04893299413580357,AUSTRALIA,education,all,1,3,predictors010,1
SL.glmnet_All,0.5136256040450794,AUSTRALIA,education,all,1,4,predictors010,1
SL.ranger.fast_All,0.45980249482517466,AUSTRALIA,education,all,1,4,predictors010,1
SL.xgboost.fast_All,0.02657190112974603,AUSTRALIA,education,all,1,4,predictors010,1
SL.glmnet_All,0.41888670130164646,AUSTRALIA,education,all,1,5,predictors010,1
SL.ranger.fast_All,0.5413739606907998,AUSTRALIA,education,all,1,5,predictors010,1
SL.xgboost.fast_All,0.03973933800755378,AUSTRALIA,education,all,1,5,predictors010,1
SL.glmnet_All,0.5704698561671385,AUSTRALIA,education,all,2,1,predictors010,1
SL.ranger.fast_All,0.4295301438328614,AUSTRALIA,education,all,2,1,predictors010,1
SL.xgboost.fast_All,0,AUSTRALIA,education,all,2,1,predictors010,1
SL.glmnet_All,0.6281007455593904,AUSTRALIA,education,all,2,2,predictors010,1
SL.ranger.fast_All,0.3395142815452442,AUSTRALIA,education,all,2,2,predictors010,1
SL.xgboost.fast_All,0.032384972895365405,AUSTRALIA,education,all,2,2,predictors010,1
SL.glmnet_All,0.555518186250315,AUSTRALIA,education,all,2,3,predictors010,1
SL.ranger.fast_All,0.39026871649757666,AUSTRALIA,education,all,2,3,predictors010,1
SL.xgboost.fast_All,0.05421309725210831,AUSTRALIA,education,all,2,3,predictors010,1
SL.glmnet_All,0.7298213895929166,AUSTRALIA,education,all,2,4,predictors010,1
SL.ranger.fast_All,0.22533451193256354,AUSTRALIA,education,all,2,4,predictors010,1
SL.xgboost.fast_All,0.04484409847451992,AUSTRALIA,education,all,2,4,predictors010,1
SL.glmnet_All,0.5774986910710062,AUSTRALIA,education,all,2,5,predictors010,1
SL.ranger.fast_All,0.35552939895258995,AUSTRALIA,education,all,2,5,predictors010,1
SL.xgboost.fast_All,0.06697190997640397,AUSTRALIA,education,all,2,5,predictors010,1
SL.glmnet_All,0.8322234419703367,AUSTRALIA,education,all,3,1,predictors010,1
SL.ranger.fast_All,0.11344634474192355,AUSTRALIA,education,all,3,1,predictors010,1
SL.xgboost.fast_All,0.05433021328773965,AUSTRALIA,education,all,3,1,predictors010,1
SL.glmnet_All,0.4177441003004655,AUSTRALIA,education,all,3,2,predictors010,1
SL.ranger.fast_All,0.5822558996995344,AUSTRALIA,education,all,3,2,predictors010,1
SL.xgboost.fast_All,0,AUSTRALIA,education,all,3,2,predictors010,1
SL.glmnet_All,0.465745230268502,AUSTRALIA,education,all,3,3,predictors010,1
SL.ranger.fast_All,0.5181462816307713,AUSTRALIA,education,all,3,3,predictors010,1
SL.xgboost.fast_All,0.01610848810072679,AUSTRALIA,education,all,3,3,predictors010,1
SL.glmnet_All,0.45348963455441577,AUSTRALIA,education,all,3,4,predictors010,1
SL.ranger.fast_All,0.4849448855787438,AUSTRALIA,education,all,3,4,predictors010,1
SL.xgboost.fast_All,0.06156547986684041,AUSTRALIA,education,all,3,4,predictors010,1
SL.glmnet_All,0.5987202604421848,AUSTRALIA,education,all,3,5,predictors010,1
SL.ranger.fast_All,0.3779964055099246,AUSTRALIA,education,all,3,5,predictors010,1
SL.xgboost.fast_All,0.023283334047890708,AUSTRALIA,education,all,3,5,predictors010,1
SL.glmnet_All,0.5422506765019907,KOREA,education,all,1,1,predictors010,1
SL.ranger.fast_All,0.42633875213311256,KOREA,education,all,1,1,predictors010,1
SL.xgboost.fast_All,0.03141057136489677,KOREA,education,all,1,1,predictors010,1
SL.glmnet_All,0.47109136845737953,KOREA,education,all,1,2,predictors010,1
SL.ranger.fast_All,0.5289086315426205,KOREA,education,all,1,2,predictors010,1
SL.xgboost.fast_All,0,KOREA,education,all,1,2,predictors010,1
SL.glmnet_All,0.6586827485398475,KOREA,education,all,1,3,predictors010,1
SL.ranger.fast_All,0.34131725146015246,KOREA,education,all,1,3,predictors010,1
SL.xgboost.fast_All,0,KOREA,education,all,1,3,predictors010,1
SL.glmnet_All,0.28783699777423255,KOREA,education,all,1,4,predictors010,1
SL.ranger.fast_All,0.6705721275323462,KOREA,education,all,1,4,predictors010,1
SL.xgboost.fast_All,0.0415908746934214,KOREA,education,all,1,4,predictors010,1
SL.glmnet_All,0.5415787311792715,KOREA,education,all,1,5,predictors010,1
SL.ranger.fast_All,0.45842126882072853,KOREA,education,all,1,5,predictors010,1
SL.xgboost.fast_All,0,KOREA,education,all,1,5,predictors010,1
SL.glmnet_All,0.44364787801851163,KOREA,education,all,2,1,predictors010,1
SL.ranger.fast_All,0.5473229180342476,KOREA,education,all,2,1,predictors010,1
SL.xgboost.fast_All,0.009029203947240903,KOREA,education,all,2,1,predictors010,1
SL.glmnet_All,0.39214670949052316,KOREA,education,all,2,2,predictors010,1
SL.ranger.fast_All,0.5555502990165381,KOREA,education,all,2,2,predictors010,1
SL.xgboost.fast_All,0.052302991492938794,KOREA,education,all,2,2,predictors010,1
SL.glmnet_All,0.4697747987686227,KOREA,education,all,2,3,predictors010,1
SL.ranger.fast_All,0.5222394536114718,KOREA,education,all,2,3,predictors010,1
SL.xgboost.fast_All,0.007985747619905517,KOREA,education,all,2,3,predictors010,1
SL.glmnet_All,0.4513889088159071,KOREA,education,all,2,4,predictors010,1
SL.ranger.fast_All,0.5486110911840928,KOREA,education,all,2,4,predictors010,1
SL.xgboost.fast_All,0,KOREA,education,all,2,4,predictors010,1
SL.glmnet_All,0.3199730791663731,KOREA,education,all,2,5,predictors010,1
SL.ranger.fast_All,0.6800269208336268,KOREA,education,all,2,5,predictors010,1
SL.xgboost.fast_All,0,KOREA,education,all,2,5,predictors010,1
SL.glmnet_All,0.6634675433202362,KOREA,education,all,3,1,predictors010,1
SL.ranger.fast_All,0.29020797027867695,KOREA,education,all,3,1,predictors010,1
SL.xgboost.fast_All,0.04632448640108687,KOREA,education,all,3,1,predictors010,1
SL.glmnet_All,0.4006603155899399,KOREA,education,all,3,2,predictors010,1
SL.ranger.fast_All,0.59933968441006,KOREA,education,all,3,2,predictors010,1
SL.xgboost.fast_All,0,KOREA,education,all,3,2,predictors010,1
SL.glmnet_All,0.6735168703227726,KOREA,education,all,3,3,predictors010,1
SL.ranger.fast_All,0.32648312967722737,KOREA,education,all,3,3,predictors010,1
SL.xgboost.fast_All,0,KOREA,education,all,3,3,predictors010,1
SL.glmnet_All,0.37218430813388353,KOREA,education,all,3,4,predictors010,1
SL.ranger.fast_All,0.6278156918661165,KOREA,education,all,3,4,predictors010,1
SL.xgboost.fast_All,0,KOREA,education,all,3,4,predictors010,1
SL.glmnet_All,0.37476063656559927,KOREA,education,all,3,5,predictors010,1
SL.ranger.fast_All,0.5533343646196432,KOREA,education,all,3,5,predictors010,1
SL.xgboost.fast_All,0.07190499881475743,KOREA,education,all,3,5,predictors010,1
