Country,Outcome,Group,Predictor_Set,Min_Obs,Sample_Size,SuperLearner
AUSTRALIA,bottom50,childtop20,famincedu,1,529,-0
GERMANY,bottom50,childtop20,famincedu,1,717,0.001
KOREA,bottom50,childtop20,famincedu,1,411,0.004
UK,bottom50,childtop20,famincedu,1,584,0.018
USA,bottom50,childtop20,famincedu,1,2245,0.036
