Country,Outcome,Group,Predictor_Set,Min_Obs,Sample_Size,SuperLearner
AUSTRALIA,top50,childbottom20,predictors010,1,505,0.02
GERMANY,top50,childbottom20,predictors010,1,443,0.009
KOREA,top50,childbottom20,predictors010,1,420,-0.015
UK,top50,childbottom20,predictors010,1,418,0.035
USA,top50,childbottom20,predictors010,1,2274,0.035
