Country,Outcome,Group,Predictor_Set,Min_Obs,Sample_Size,SuperLearner
AUSTRALIA,bottom50,childtop20,predictors017,1,529,0.006
GERMANY,bottom50,childtop20,predictors017,1,717,0.005
KOREA,bottom50,childtop20,predictors017,1,411,-0.048
UK,bottom50,childtop20,predictors017,1,584,0.026
USA,bottom50,childtop20,predictors017,1,2245,0.062
