Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.39118588604121723,USA,education,all,1,1,predictors017,1
SL.ranger.fast_All,0.48938707123410935,USA,education,all,1,1,predictors017,1
SL.xgboost.fast_All,0.11942704272467339,USA,education,all,1,1,predictors017,1
SL.glmnet_All,0.39930437053921886,USA,education,all,1,2,predictors017,1
SL.ranger.fast_All,0.4712636650252773,USA,education,all,1,2,predictors017,1
SL.xgboost.fast_All,0.12943196443550384,USA,education,all,1,2,predictors017,1
SL.glmnet_All,0.4049740313407815,USA,education,all,1,3,predictors017,1
SL.ranger.fast_All,0.4933417526824024,USA,education,all,1,3,predictors017,1
SL.xgboost.fast_All,0.10168421597681619,USA,education,all,1,3,predictors017,1
SL.glmnet_All,0.35471052015903504,USA,education,all,1,4,predictors017,1
SL.ranger.fast_All,0.45673947643025004,USA,education,all,1,4,predictors017,1
SL.xgboost.fast_All,0.18855000341071493,USA,education,all,1,4,predictors017,1
SL.glmnet_All,0.39508694460807153,USA,education,all,1,5,predictors017,1
SL.ranger.fast_All,0.533784674440218,USA,education,all,1,5,predictors017,1
SL.xgboost.fast_All,0.07112838095171044,USA,education,all,1,5,predictors017,1
SL.glmnet_All,0.30540171427133384,USA,education,all,2,1,predictors017,1
SL.ranger.fast_All,0.5625666910526661,USA,education,all,2,1,predictors017,1
SL.xgboost.fast_All,0.1320315946760001,USA,education,all,2,1,predictors017,1
SL.glmnet_All,0.38729519916203353,USA,education,all,2,2,predictors017,1
SL.ranger.fast_All,0.4948078226012064,USA,education,all,2,2,predictors017,1
SL.xgboost.fast_All,0.11789697823676011,USA,education,all,2,2,predictors017,1
SL.glmnet_All,0.3719516469012266,USA,education,all,2,3,predictors017,1
SL.ranger.fast_All,0.48131528257391815,USA,education,all,2,3,predictors017,1
SL.xgboost.fast_All,0.14673307052485515,USA,education,all,2,3,predictors017,1
SL.glmnet_All,0.3596818453173839,USA,education,all,2,4,predictors017,1
SL.ranger.fast_All,0.5088434360020441,USA,education,all,2,4,predictors017,1
SL.xgboost.fast_All,0.1314747186805721,USA,education,all,2,4,predictors017,1
SL.glmnet_All,0.41360837278661233,USA,education,all,2,5,predictors017,1
SL.ranger.fast_All,0.4956496425999813,USA,education,all,2,5,predictors017,1
SL.xgboost.fast_All,0.09074198461340643,USA,education,all,2,5,predictors017,1
SL.glmnet_All,0.35245551186627166,USA,education,all,3,1,predictors017,1
SL.ranger.fast_All,0.5738194369157191,USA,education,all,3,1,predictors017,1
SL.xgboost.fast_All,0.07372505121800929,USA,education,all,3,1,predictors017,1
SL.glmnet_All,0.37071679256464046,USA,education,all,3,2,predictors017,1
SL.ranger.fast_All,0.5167807733053169,USA,education,all,3,2,predictors017,1
SL.xgboost.fast_All,0.11250243413004264,USA,education,all,3,2,predictors017,1
SL.glmnet_All,0.40236927323164373,USA,education,all,3,3,predictors017,1
SL.ranger.fast_All,0.45294290862394976,USA,education,all,3,3,predictors017,1
SL.xgboost.fast_All,0.14468781814440648,USA,education,all,3,3,predictors017,1
SL.glmnet_All,0.3648594714476773,USA,education,all,3,4,predictors017,1
SL.ranger.fast_All,0.4976172235963672,USA,education,all,3,4,predictors017,1
SL.xgboost.fast_All,0.13752330495595566,USA,education,all,3,4,predictors017,1
SL.glmnet_All,0.4284440587067086,USA,education,all,3,5,predictors017,1
SL.ranger.fast_All,0.46425251629680625,USA,education,all,3,5,predictors017,1
SL.xgboost.fast_All,0.10730342499648504,USA,education,all,3,5,predictors017,1
SL.glmnet_All,0.4126559325304829,GERMANY,education,all,1,1,predictors017,1
SL.ranger.fast_All,0.49003342488864526,GERMANY,education,all,1,1,predictors017,1
SL.xgboost.fast_All,0.09731064258087183,GERMANY,education,all,1,1,predictors017,1
SL.glmnet_All,0.5217424224806766,GERMANY,education,all,1,2,predictors017,1
SL.ranger.fast_All,0.34310607467715015,GERMANY,education,all,1,2,predictors017,1
SL.xgboost.fast_All,0.13515150284217328,GERMANY,education,all,1,2,predictors017,1
SL.glmnet_All,0.45435969674625515,GERMANY,education,all,1,3,predictors017,1
SL.ranger.fast_All,0.4079798306017374,GERMANY,education,all,1,3,predictors017,1
SL.xgboost.fast_All,0.13766047265200743,GERMANY,education,all,1,3,predictors017,1
