Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,poverty,all,predictors010,1,1,2512,0.059385295002303315
AUSTRALIA,poverty,all,predictors010,1,2,2512,0.06162004329791686
AUSTRALIA,poverty,all,predictors010,1,3,2512,0.056816337403067664
GERMANY,poverty,all,predictors010,1,1,2765,0.07224932338874783
GERMANY,poverty,all,predictors010,1,2,2765,0.07474910438268909
GERMANY,poverty,all,predictors010,1,3,2765,0.07028571191338757
KOREA,poverty,all,predictors010,1,1,2126,0.08440234278995898
KOREA,poverty,all,predictors010,1,2,2126,0.0806504155571504
KOREA,poverty,all,predictors010,1,3,2126,0.07133323981338854
UK,poverty,all,predictors010,1,1,1843,0.01885884037144705
UK,poverty,all,predictors010,1,2,1843,0.020837263535352358
UK,poverty,all,predictors010,1,3,1843,0.02222922942058845
USA,poverty,all,predictors010,1,1,11518,0.19890910098082631
USA,poverty,all,predictors010,1,2,11518,0.1987437074895393
USA,poverty,all,predictors010,1,3,11518,0.19837814946958252
