Country,Outcome,Group,Predictor_Set,Min_Obs,Sample_Size,SuperLearner
AUSTRALIA,top10,all,famincedu,1,2512,0.04
GERMANY,top10,all,famincedu,1,2765,0.097
KOREA,top10,all,famincedu,1,2126,0.124
UK,top10,all,famincedu,1,2528,0.049
USA,top10,all,famincedu,1,11519,0.127
