Country,Outcome,Group,Predictor_Set,Min_Obs,Sample_Size,SuperLearner
AUSTRALIA,top20,childtop20,famincedu,1,529,-0.001
GERMANY,top20,childtop20,famincedu,1,717,0.031
KOREA,top20,childtop20,famincedu,1,411,0.039
UK,top20,childtop20,famincedu,1,584,0.06
USA,top20,childtop20,famincedu,1,2245,0.044
