Country,Outcome,Group,Predictor_Set,Min_Obs,Sample_Size,SuperLearner
AUSTRALIA,adcont,all,famincedu,1,2512,0.147
GERMANY,adcont,all,famincedu,1,2765,0.127
KOREA,adcont,all,famincedu,1,2126,0.177
UK,adcont,all,famincedu,1,1843,0.093
USA,adcont,all,famincedu,1,11518,0.297
