Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.glmnet_All,0.9142835643592341,USA,top50,childbottom20,1,1,predictors017,1
SL.ranger.fast_All,0.049758006010192396,USA,top50,childbottom20,1,1,predictors017,1
SL.xgboost.fast_All,0.03595842963057357,USA,top50,childbottom20,1,1,predictors017,1
SL.glmnet_All,0.6576597403606533,USA,top50,childbottom20,1,2,predictors017,1
SL.ranger.fast_All,0.3423402596393467,USA,top50,childbottom20,1,2,predictors017,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,1,2,predictors017,1
SL.glmnet_All,0.554293193148259,USA,top50,childbottom20,1,3,predictors017,1
SL.ranger.fast_All,0.445706806851741,USA,top50,childbottom20,1,3,predictors017,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,1,3,predictors017,1
SL.glmnet_All,0.8052936135075938,USA,top50,childbottom20,1,4,predictors017,1
SL.ranger.fast_All,0.1947063864924062,USA,top50,childbottom20,1,4,predictors017,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,1,4,predictors017,1
SL.glmnet_All,0.4429748131256911,USA,top50,childbottom20,1,5,predictors017,1
SL.ranger.fast_All,0.5570251868743089,USA,top50,childbottom20,1,5,predictors017,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,1,5,predictors017,1
SL.glmnet_All,0.9144288461785272,USA,top50,childbottom20,2,1,predictors017,1
SL.ranger.fast_All,0.08557115382147273,USA,top50,childbottom20,2,1,predictors017,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,2,1,predictors017,1
SL.glmnet_All,0.6509444519790868,USA,top50,childbottom20,2,2,predictors017,1
SL.ranger.fast_All,0.3490555480209132,USA,top50,childbottom20,2,2,predictors017,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,2,2,predictors017,1
SL.glmnet_All,0.7919804975995348,USA,top50,childbottom20,2,3,predictors017,1
SL.ranger.fast_All,0.20801950240046524,USA,top50,childbottom20,2,3,predictors017,1
SL.xgboost.fast_All,0,USA,top50,childbottom20,2,3,predictors017,1
SL.glmnet_All,0.5394541724264373,USA,top50,childbottom20,2,4,predictors017,1
SL.ranger.fast_All,0.4205328310012471,USA,top50,childbottom20,2,4,predictors017,1
SL.xgboost.fast_All,0.04001299657231551,USA,top50,childbottom20,2,4,predictors017,1
SL.glmnet_All,0.5103312105075041,USA,top50,childbottom20,2,5,predictors017,1
SL.ranger.fast_All,0.42542303208692883,USA,top50,childbottom20,2,5,predictors017,1
SL.xgboost.fast_All,0.06424575740556711,USA,top50,childbottom20,2,5,predictors017,1
