Country,Outcome,Group,Predictor_Set,Min_Obs,Rep,Sample_Size,SuperLearner
AUSTRALIA,poverty,childbottom20,predictors017,1,1,505,0.013890374150146712
AUSTRALIA,poverty,childbottom20,predictors017,1,2,505,0.028129388873685345
AUSTRALIA,poverty,childbottom20,predictors017,1,3,505,0.01520165343367583
GERMANY,poverty,childbottom20,predictors017,1,1,443,-0.004109135854866363
GERMANY,poverty,childbottom20,predictors017,1,2,443,0.020038182346100754
GERMANY,poverty,childbottom20,predictors017,1,3,443,0.024898832896925738
KOREA,poverty,childbottom20,predictors017,1,1,420,0.05561430721941529
KOREA,poverty,childbottom20,predictors017,1,2,420,0.050564330921829215
KOREA,poverty,childbottom20,predictors017,1,3,420,0.002757467362122147
UK,poverty,childbottom20,predictors017,1,1,325,-0.0186400672651454
UK,poverty,childbottom20,predictors017,1,2,325,-0.00607258992017814
UK,poverty,childbottom20,predictors017,1,3,325,-0.029899292382422837
USA,poverty,childbottom20,predictors017,1,1,2274,0.0764109674438918
USA,poverty,childbottom20,predictors017,1,2,2274,0.0649345943218402
USA,poverty,childbottom20,predictors017,1,3,2274,0.07895297177812174
