Algo,Weight,Country,Outcome,Group,Rep,Fold,Predictor_Set,Min_Obs
SL.ranger.fast_All,0.8338266868757571,GERMANY,poverty,childbottom20,2,2,famincedu,1
SL.xgboost.fast_All,0.1661733131242429,GERMANY,poverty,childbottom20,2,2,famincedu,1
SL.glmnet_All,0,GERMANY,poverty,childbottom20,2,3,famincedu,1
SL.ranger.fast_All,1,GERMANY,poverty,childbottom20,2,3,famincedu,1
SL.xgboost.fast_All,0,GERMANY,poverty,childbottom20,2,3,famincedu,1
SL.glmnet_All,0.9820924018960693,GERMANY,poverty,childbottom20,2,4,famincedu,1
SL.ranger.fast_All,0.017907598103930698,GERMANY,poverty,childbottom20,2,4,famincedu,1
SL.xgboost.fast_All,0,GERMANY,poverty,childbottom20,2,4,famincedu,1
SL.glmnet_All,0,GERMANY,poverty,childbottom20,2,5,famincedu,1
SL.ranger.fast_All,1,GERMANY,poverty,childbottom20,2,5,famincedu,1
SL.xgboost.fast_All,0,GERMANY,poverty,childbottom20,2,5,famincedu,1
SL.glmnet_All,0.21256504033125986,GERMANY,poverty,childbottom20,3,1,famincedu,1
SL.ranger.fast_All,0.7874349596687402,GERMANY,poverty,childbottom20,3,1,famincedu,1
SL.xgboost.fast_All,0,GERMANY,poverty,childbottom20,3,1,famincedu,1
SL.glmnet_All,0,GERMANY,poverty,childbottom20,3,2,famincedu,1
SL.ranger.fast_All,1,GERMANY,poverty,childbottom20,3,2,famincedu,1
SL.xgboost.fast_All,0,GERMANY,poverty,childbottom20,3,2,famincedu,1
SL.glmnet_All,0,GERMANY,poverty,childbottom20,3,3,famincedu,1
SL.ranger.fast_All,1,GERMANY,poverty,childbottom20,3,3,famincedu,1
SL.xgboost.fast_All,0,GERMANY,poverty,childbottom20,3,3,famincedu,1
SL.glmnet_All,0.2406270582913677,GERMANY,poverty,childbottom20,3,4,famincedu,1
SL.ranger.fast_All,0,GERMANY,poverty,childbottom20,3,4,famincedu,1
SL.xgboost.fast_All,0.7593729417086323,GERMANY,poverty,childbottom20,3,4,famincedu,1
SL.glmnet_All,0,GERMANY,poverty,childbottom20,3,5,famincedu,1
SL.ranger.fast_All,1,GERMANY,poverty,childbottom20,3,5,famincedu,1
SL.xgboost.fast_All,0,GERMANY,poverty,childbottom20,3,5,famincedu,1
SL.glmnet_All,1,AUSTRALIA,poverty,childbottom20,1,1,famincedu,1
SL.ranger.fast_All,0,AUSTRALIA,poverty,childbottom20,1,1,famincedu,1
SL.xgboost.fast_All,0,AUSTRALIA,poverty,childbottom20,1,1,famincedu,1
SL.glmnet_All,1,AUSTRALIA,poverty,childbottom20,1,2,famincedu,1
